SenderID;ReceiverID;EventTime
11023;189277;2011-12-09 19:03:43
189277;11023;2011-12-09 19:05:10
157480;11023;2011-12-09 19:05:46
144571;11023;2011-12-09 19:06:27
11023;189277;2011-12-09 19:27:19
189277;11023;2011-12-09 19:31:37
189277;11023;2011-12-09 19:31:47
140993;11023;2011-12-09 21:39:26
11023;140993;2011-12-09 21:39:59
156324;11023;2011-12-09 21:57:22
11023;156324;2011-12-09 21:59:11
140993;11023;2011-12-09 22:07:03
11023;140993;2011-12-09 22:07:34
157480;11023;2011-12-09 22:09:01
11023;157480;2011-12-09 22:21:59
11023;157480;2011-12-09 22:23:02
11023;157480;2011-12-09 22:23:52
11023;528855;2011-12-09 22:26:29
11023;189277;2011-12-09 22:26:43
157480;11023;2011-12-09 22:29:56
157480;11023;2011-12-09 22:29:59
157480;11023;2011-12-09 22:30:01
157480;11023;2011-12-09 22:30:03
11023;147795;2011-12-09 22:37:57
11023;127838;2011-12-09 22:40:27
140993;11023;2011-12-09 22:49:11
11023;140993;2011-12-09 22:53:38
896302;11023;2011-12-09 23:13:55
140993;11023;2011-12-09 23:17:20
157480;11023;2011-12-09 23:19:49
11023;896302;2011-12-09 23:22:15
11023;157480;2011-12-09 23:23:50
157480;11023;2011-12-09 23:25:22
896302;11023;2011-12-09 23:26:08
11023;896302;2011-12-09 23:27:35
11023;157480;2011-12-09 23:28:00
896302;11023;2011-12-09 23:28:27
157480;11023;2011-12-09 23:29:22
11023;896302;2011-12-09 23:29:42
11023;157480;2011-12-09 23:30:35
157480;11023;2011-12-09 23:32:11
11023;157480;2011-12-09 23:38:35
896302;11023;2011-12-09 23:40:47
11023;127838;2011-12-10 00:44:45
157480;11023;2011-12-10 04:13:41
702627;11023;2011-12-10 04:14:18
11023;157480;2011-12-10 04:16:41
157480;11023;2011-12-10 04:18:23
11023;157480;2011-12-10 04:19:39
157480;11023;2011-12-10 04:20:36
11023;157480;2011-12-10 04:22:30
157480;11023;2011-12-10 04:23:20
11023;157480;2011-12-10 04:23:50
157480;11023;2011-12-10 04:25:33
157480;11023;2011-12-10 04:25:44
11023;157480;2011-12-10 04:27:41
157480;11023;2011-12-10 04:28:58
11023;157480;2011-12-10 04:29:25
11023;157480;2011-12-10 04:52:38
157480;11023;2011-12-10 04:53:27
11023;157480;2011-12-10 04:54:55
157480;11023;2011-12-10 04:56:32
11023;157480;2011-12-10 04:58:31
157480;11023;2011-12-10 05:01:08
702627;11023;2011-12-10 05:02:30
11023;157480;2011-12-10 05:03:10
157480;11023;2011-12-10 05:03:47
11023;157480;2011-12-10 05:04:05
157480;11023;2011-12-10 05:04:38
11023;157480;2011-12-10 05:04:46
157480;11023;2011-12-10 05:06:20
11023;157480;2011-12-10 05:07:14
11023;157480;2011-12-10 05:08:21
157480;11023;2011-12-10 05:10:11
157480;11023;2011-12-10 05:10:21
11023;157480;2011-12-10 05:13:17
157480;11023;2011-12-10 05:14:12
11023;157480;2011-12-10 05:16:41
157480;11023;2011-12-10 05:17:32
11023;157480;2011-12-10 05:18:51
144571;11023;2011-12-10 05:19:20
144571;11023;2011-12-10 05:19:35
11023;144571;2011-12-10 05:19:36
11023;144571;2011-12-10 05:19:50
144571;11023;2011-12-10 05:20:06
157480;11023;2011-12-10 06:27:15
157480;11023;2011-12-10 06:27:26
11023;157480;2011-12-10 06:29:44
157480;11023;2011-12-10 06:30:49
11023;157480;2011-12-10 06:31:50
11023;157480;2011-12-10 06:32:20
157480;11023;2011-12-10 06:33:08
11023;157480;2011-12-10 06:33:47
157480;11023;2011-12-10 06:34:51
11023;157480;2011-12-10 06:36:15
11023;157480;2011-12-10 06:37:08
11023;157480;2011-12-10 06:38:23
11023;157480;2011-12-10 06:39:23
11023;157480;2011-12-10 06:40:15
11023;157480;2011-12-10 06:41:31
11023;157480;2011-12-10 06:42:57
11023;157480;2011-12-10 06:43:51
11023;157480;2011-12-10 06:49:04
157480;11023;2011-12-10 06:54:34
157480;11023;2011-12-10 06:54:44
157480;11023;2011-12-10 06:54:47
11023;157480;2011-12-10 06:56:49
11023;157480;2011-12-10 06:57:48
157480;11023;2011-12-10 06:58:45
11023;157480;2011-12-10 07:00:30
157480;11023;2011-12-10 07:03:43
11023;157480;2011-12-10 07:04:32
156550;11023;2011-12-10 14:46:37
156550;11023;2011-12-10 14:46:53
11023;156550;2011-12-10 14:48:06
156550;11023;2011-12-10 14:48:40
156324;11023;2011-12-10 17:19:11
157480;11023;2011-12-10 20:50:09
11023;157480;2011-12-10 20:51:51
157480;11023;2011-12-10 20:54:08
157480;11023;2011-12-10 20:54:19
11023;157480;2011-12-10 20:56:49
157480;11023;2011-12-10 20:58:21
11023;157480;2011-12-10 20:59:29
157480;11023;2011-12-10 21:01:24
11023;157480;2011-12-10 21:05:29
156324;11023;2011-12-10 22:18:38
157480;11023;2011-12-10 22:19:28
11023;122454;2011-12-10 22:19:49
11023;157480;2011-12-10 22:20:51
11023;156324;2011-12-10 22:21:08
156324;11023;2011-12-10 22:21:41
122454;11023;2011-12-10 22:21:52
157480;11023;2011-12-10 22:22:58
11023;122454;2011-12-10 22:23:13
11023;157480;2011-12-10 22:23:47
122454;11023;2011-12-10 22:24:15
157480;11023;2011-12-10 22:25:16
11023;122454;2011-12-10 22:25:46
11023;157480;2011-12-10 22:26:38
122454;11023;2011-12-10 22:26:48
157480;11023;2011-12-10 22:27:50
11023;122454;2011-12-10 22:31:04
11023;157480;2011-12-10 22:31:53
157480;11023;2011-12-10 22:32:43
11023;157480;2011-12-10 22:34:49
122454;11023;2011-12-10 22:35:47
157480;11023;2011-12-10 22:36:18
11023;122454;2011-12-10 22:37:36
11023;157480;2011-12-10 22:39:02
11023;157480;2011-12-10 22:39:19
157480;11023;2011-12-10 22:39:53
11023;157480;2011-12-10 22:41:47
157480;11023;2011-12-10 22:43:07
11023;157480;2011-12-10 22:46:37
896302;11023;2011-12-10 22:57:37
122454;11023;2011-12-10 22:57:57
11023;896302;2011-12-10 22:58:46
896302;11023;2011-12-10 22:59:30
11023;896302;2011-12-10 23:00:30
11023;896302;2011-12-11 00:11:28
896302;11023;2011-12-11 00:12:28
11023;896302;2011-12-11 00:13:39
896302;11023;2011-12-11 00:14:56
11023;896302;2011-12-11 00:15:29
896302;11023;2011-12-11 00:32:51
11023;896302;2011-12-11 00:33:32
896302;11023;2011-12-11 00:35:51
11023;896302;2011-12-11 00:36:34
157480;11023;2011-12-11 00:44:53
11023;157480;2011-12-11 00:46:05
157480;11023;2011-12-11 00:47:11
11023;157480;2011-12-11 00:47:55
157480;11023;2011-12-11 00:48:48
11023;157480;2011-12-11 00:49:42
157480;11023;2011-12-11 00:50:47
11023;157480;2011-12-11 00:52:12
157480;11023;2011-12-11 00:53:20
896302;11023;2011-12-11 00:54:06
11023;157480;2011-12-11 00:55:36
11023;896302;2011-12-11 00:55:49
896302;11023;2011-12-11 00:56:19
157480;11023;2011-12-11 00:58:29
157480;11023;2011-12-11 00:58:39
157480;11023;2011-12-11 00:58:41
11023;157480;2011-12-11 00:59:09
11023;157480;2011-12-11 01:01:01
157480;11023;2011-12-11 01:02:03
11023;157480;2011-12-11 01:02:38
157480;11023;2011-12-11 01:04:12
157480;11023;2011-12-11 01:04:22
11023;122454;2011-12-11 01:26:07
122454;11023;2011-12-11 01:26:46
11023;157480;2011-12-11 01:29:12
11023;157480;2011-12-11 01:29:26
11023;122454;2011-12-11 01:33:57
122454;11023;2011-12-11 01:35:45
11023;122454;2011-12-11 01:36:18
122454;11023;2011-12-11 01:36:46
11023;122454;2011-12-11 01:36:53
147795;11023;2011-12-11 01:40:42
15723;11023;2011-12-11 02:20:43
11023;15723;2011-12-11 02:39:21
15723;11023;2011-12-11 02:41:52
189277;11023;2011-12-11 02:49:53
11023;15723;2011-12-11 03:37:34
15723;11023;2011-12-11 03:38:13
11023;15723;2011-12-11 03:38:38
15723;11023;2011-12-11 03:39:13
11023;15723;2011-12-11 03:45:00
140993;11023;2011-12-11 04:14:35
11023;140993;2011-12-11 04:15:47
140993;11023;2011-12-11 04:20:07
140993;11023;2011-12-11 04:20:17
11023;140993;2011-12-11 04:22:24
11023;140993;2011-12-11 04:22:31
140993;11023;2011-12-11 04:27:48
11023;140993;2011-12-11 04:30:54
147795;11023;2011-12-11 04:39:08
11023;147795;2011-12-11 04:40:02
147795;11023;2011-12-11 04:40:29
11023;157480;2011-12-11 04:53:16
11023;896302;2011-12-11 05:05:29
896302;11023;2011-12-11 05:06:52
11023;896302;2011-12-11 05:07:30
896302;11023;2011-12-11 05:09:21
11023;896302;2011-12-11 05:10:40
896302;11023;2011-12-11 05:11:29
896302;11023;2011-12-11 05:11:34
11023;896302;2011-12-11 05:12:46
896302;11023;2011-12-11 05:14:33
11023;896302;2011-12-11 05:15:39
11023;896302;2011-12-11 05:15:45
896302;11023;2011-12-11 05:16:32
157480;11023;2011-12-11 05:17:12
11023;157480;2011-12-11 05:18:33
157480;11023;2011-12-11 05:20:11
11023;157480;2011-12-11 05:22:10
157480;11023;2011-12-11 05:23:36
11023;157480;2011-12-11 05:25:07
11023;148720;2011-12-11 05:26:54
148720;11023;2011-12-11 05:28:17
157480;11023;2011-12-11 05:28:52
11023;148720;2011-12-11 05:30:13
148720;11023;2011-12-11 05:32:28
11023;157480;2011-12-11 05:32:40
11023;148720;2011-12-11 05:33:50
148720;11023;2011-12-11 05:35:48
11023;148720;2011-12-11 05:37:12
157480;11023;2011-12-11 06:47:20
11023;127838;2011-12-11 11:11:51
11023;15723;2011-12-11 14:16:26
11023;156324;2011-12-11 14:16:26
11023;147795;2011-12-11 14:16:26
11023;144571;2011-12-11 14:16:26
11023;166980;2011-12-11 14:16:26
11023;111236;2011-12-11 14:16:26
156324;11023;2011-12-11 14:16:54
